# Age[Myr]   Lxuv[erg.s-1]
8.426906383219332497e+00 4.053954808925224176e+29
8.499058957559080696e+00 4.032632996067550969e+29
8.571829314243512243e+00 4.011504331301524478e+29
8.645222742827819218e+00 3.990198061238024919e+29
8.719244578157294256e+00 3.968712715030544542e+29
8.793900200755013330e+00 3.947796884118146468e+29
8.869195037213005506e+00 3.927058682241223627e+29
8.945134560586659234e+00 3.906145094754418096e+29
9.021724290792635159e+00 3.885054734485508707e+29
9.098969795009978156e+00 3.864570585749235307e+29
9.176876688084849576e+00 3.844277356636929187e+29
9.255450632938712729e+00 3.823812063160929708e+29
9.334697340979849045e+00 3.803173255410442416e+29
9.414622572518590360e+00 3.783182026179250343e+29
9.495232137185981358e+00 3.763334521852597269e+29
9.576531894356151042e+00 3.743318091794804183e+29
9.658527753572107244e+00 3.723131354942666700e+29
9.741225674975350302e+00 3.703653747175879714e+29
9.824631669739160245e+00 3.684288759687654014e+29
9.908751800505427809e+00 3.664758558772283188e+29
9.993592181825405873e+00 3.645061741787914266e+29
1.007915898060413440e+01 3.626038078153434055e+29
1.016545841654878046e+01 3.607062829704524208e+29
1.025249676262060206e+01 3.587924241160172607e+29
1.034028034549107034e+01 3.568620978416374254e+29
1.042881554600161209e+01 3.550038273716843011e+29
1.051810879962749823e+01 3.531484859586675954e+29
1.060816659694558872e+01 3.512770846523549673e+29
1.069899548410621115e+01 3.493894852043683021e+29
1.079060206330884775e+01 3.475821718295785215e+29
1.088299299328212300e+01 3.457718675192192898e+29
1.097617498976785555e+01 3.439457801948003149e+29
1.107015482600910516e+01 3.421037753693555205e+29
1.116493933324258947e+01 3.403563030059812107e+29
1.126053540119518281e+01 3.386008411008424958e+29
1.135694997858481692e+01 3.368299879821575595e+29
1.145419007362543340e+01 3.350436104181433077e+29
1.155226275453647489e+01 3.333680039817692573e+29
1.165117515005671045e+01 3.316781714704697673e+29
1.175093444996229941e+01 3.299733224881076523e+29
1.185154790558947546e+01 3.282540941644319282e+29
1.195302283036160063e+01 3.266236309787002711e+29
1.205536660032085550e+01 3.249784849301194997e+29
1.215858665466422117e+01 3.233185261458474108e+29
1.226269049628442254e+01 3.216436246912106153e+29
1.236768569231512416e+01 3.200592692490276323e+29
1.247357987468107154e+01 3.184610964403746404e+29
1.258038074065282608e+01 3.168482571046645504e+29
1.268809605340622149e+01 3.152206153328129190e+29
1.279673364258678703e+01 3.136861037457276011e+29
1.290630140487866306e+01 3.121406459435041398e+29
1.301680730457882795e+01 3.105806110787594215e+29
1.312825937417580668e+01 3.090058644601937771e+29
1.324066571493366595e+01 3.075238956707959722e+29
1.335403449748080185e+01 3.060331905550284248e+29
1.346837396240398554e+01 3.045279187124451739e+29
1.358369242084716788e+01 3.030079459454579519e+29
1.369999825511570890e+01 3.015937211861954812e+29
1.381729991928573753e+01 3.001729080190784609e+29
1.393560593981850282e+01 2.987371323580005011e+29
1.405492491618027273e+01 2.972862540520247006e+29
1.417526552146733820e+01 2.959642741848304524e+29
1.429663650303656652e+01 2.946396097367808255e+29
1.441904668314104576e+01 2.932991703390287934e+29
1.454250495957156808e+01 2.919428152842877731e+29
1.466702030630321119e+01 2.907932857524017460e+29
1.479260177414774091e+01 2.896421143426755676e+29
1.491925849141149030e+01 2.884720955225094330e+29
1.504699966455882709e+01 2.872831226929447038e+29
1.517583457888150100e+01 2.863979697047360564e+29
1.530577259917334310e+01 2.855081609511496431e+29
1.543682317041123397e+01 2.845921334690264147e+29
1.556899581844142766e+01 2.836500095999171323e+29
1.570230015067208562e+01 2.813483519022356416e+29
1.583674585677156621e+01 2.789402763602373531e+29
