time_yr,Phi_input,Phi_diff_H,Phi_diff_O,Phi_crit,Phi_light,Phi_heavy,Phi_dl,Phi_df,Phi_c,Phi_l,Phi_h,Phi_total
4358717434.86974,1778.651474505641,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4368737474.9499,1773.6350434695394,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4378757515.03006,1768.6442044116961,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4388777555.11022,1763.6787686554974,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4398797595.19038,1758.7385493418537,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4408817635.27054,1753.8233614075973,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4418837675.350701,1748.9330215641955,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4428857715.430861,1744.0673482767534,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4438877755.511022,1739.2261617433169,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4448897795.591182,1734.4092838744664,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4458917835.671342,1729.6165382731936,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4468937875.751503,1724.8477502150597,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4478957915.831663,1720.1027466286355,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4488977955.911823,1715.381356076203,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4498997995.991983,1710.6834087347356,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4509018036.072144,1706.008736377133,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4519038076.152305,1701.3571723537198,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4529058116.232465,1696.7285515740018,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4539078156.312625,1692.1227104886632,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4549098196.392785,1687.5394870718205,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4559118236.472945,1682.9787208035177,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
